tswitch,u1,u2
0,1e-07,100
180,0.126720073900308,1.00868458287667e-07
360,1,1.90867794997343e-07
540,0.999999999763994,3.92094693697689
720,1,19.4173524509821
900,0.999999999977362,100
1080,1.00025837382753e-07,100
1260,0.133788870716371,1.64749040962288e-07
