tswitch,u1,u2
0,1,1e-07
180,1e-07,99.9999999998215
360,1.00000003914048e-07,1e-07
540,1e-07,99.9999999999979
720,1.00000124402482e-07,100
900,1.00000019958004e-07,99.9999999999605
1080,0.284854435077011,1e-07
1260,0.999999999999927,46.9275083710599
