tswitch,u1,u2
0,1e-07,100
180,1.16800285664461e-07,100
360,1,100
540,1,100
720,0.00170990909549055,100
900,0.0390956877471574,100
1080,0.990889536598788,100
1260,0.804061056942631,9.97928963939388e-06
